OBJECTID,DATE,PERIOD,PERLEN,EXCHID,NLAPAG1LOTOT,NLAPAG2LOTOT,NLAPAG1RESUCC,NLAPAG2RESUCC,NLAPAGERR,NLALOCSSRFLT,NLALOCTOT,NLALOCSUCC,NLALOCPRRFLT,NLALNOTOT,NLALNOSUCC,NLALNNTOT,NLALNNSUCC,NLALIOTOT,NLALIOSUCC,NLALPETOT,NLALPESUCC,NLAL2ONTOT,NLAL2NOSUCC,NLAL2IOTOT,NLAL2OISUCC,NLLALOCTOT,NLLALNOTOT,NLLALNNTOT,NLLALIOTOT,NLLALPETOT,NLLAREGSUB,NLLAATTSUB,NLLAGPRSATTSUB,NLASATSGS
4600022162,20190209,1800-0491,386,,907,40,867,5,4,0,5210,4515,0,3157,3145,836,427,269,189,748,748,0,0,0,0,0,0,0,0,0,9676,9122,0,6881
4600021906,20190209,1800-0491,386,,375,40,332,4,0,0,3105,2847,0,2264,2255,298,52,60,58,482,481,0,0,0,0,0,0,0,0,0,4689,4453,0,3086
4600054768,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-0491,386,,767,49,716,5,1,0,5940,5402,0,3727,3695,940,439,354,351,904,904,0,0,0,0,0,0,0,0,0,16302,15376,0,12709
4600021912,20190209,1800-0491,386,,1304,188,1119,24,9,0,10668,10197,0,8082,8063,675,228,585,585,1312,1310,0,0,0,0,0,0,0,0,0,16620,15847,0,11909
4600022161,20190209,1800-0491,386,,405,39,367,5,3,0,2841,2659,0,1976,1970,343,174,107,106,408,405,0,0,0,0,0,0,0,0,0,4754,4502,0,3245
4600054771,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021913,20190209,1800-0491,386,,945,64,878,20,2,0,5298,4806,0,2988,2973,780,307,388,385,1117,1117,0,0,0,0,0,0,0,0,0,15967,15246,0,12118
4600021914,20190209,1800-0491,386,,771,76,697,8,4,0,5874,5504,0,3857,3833,499,155,432,430,1074,1074,0,0,0,0,0,0,0,0,0,12161,11484,0,8601
4600022160,20190209,1800-0491,386,,416,32,383,4,1,0,3693,3463,0,2884,2878,292,68,78,78,434,434,0,0,0,0,0,0,0,0,0,6513,6237,0,4841
4600021919,20190209,1800-0491,386,,886,69,818,8,3,0,5518,5057,0,3199,3188,806,370,236,227,1213,1211,0,0,0,0,0,0,0,0,0,16218,15375,0,12275
4600022164,20190209,1800-0491,386,,838,111,734,10,2,0,6396,5953,0,4630,4617,639,212,112,112,1007,1007,0,0,0,0,0,0,0,0,0,11616,11043,0,8163
4600022169,20190209,1800-0491,386,,1,0,1,0,0,0,8,8,0,2,2,1,1,0,0,5,5,0,0,0,0,0,0,0,0,0,3,3,0,0
4600021908,20190209,1800-0491,386,,984,27,956,5,4,0,6248,5387,0,3944,3910,904,86,282,279,1082,1081,0,0,0,0,0,0,0,0,0,18792,17798,0,14641
4600021915,20190209,1800-0491,386,,1055,189,868,17,3,0,5383,4892,0,3626,3617,662,181,195,194,897,897,0,0,0,0,0,0,0,0,0,8962,8466,0,5649
4600021916,20190209,1800-0491,386,,609,145,464,6,3,0,4003,3460,0,2673,2659,583,75,205,204,521,521,0,0,0,0,0,0,0,0,0,5355,5045,0,3389
4600021917,20190209,1800-0491,386,,718,62,654,6,13,0,5632,5329,0,3741,3732,420,133,462,460,991,991,0,0,0,0,0,0,0,0,0,12468,11874,0,9264
4600054772,20190209,1800-0491,386,,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021918,20190209,1800-0491,386,,844,93,751,8,4,0,5942,5655,0,4112,4109,384,101,323,323,1116,1116,0,0,0,0,0,0,0,0,0,13750,13050,0,10077
